tntt 知己知彼
upns 道之以德齐之以礼有耻且格
gapp 死葬之以礼祭之以礼
bgwf 孟武伯问孝
biuf 子游问孝
ggdu 至于犬马皆能有养
gawt 不敬何以别乎
bduf 子夏问孝
dgua 有事弟子服其劳
diwt 有酒食先生馔曾是以为孝乎
vdij 退而省其私亦足以发回也不愚
wgyf 人焉廋哉
baub 子贡问君子
tpyb 知之为知之不知为不知是知也
bxip 子张学干禄
qmun 多见阙殆慎行其余则寡悔
ypdc 言寡尤行寡悔禄在其中矣
isqe 举枉错诸直则民不服
fumk 孝慈则忠
iudc 举善而教不能则劝
dlff 大车无輗小车无軏其何以行之哉
mlgb 周因于殷礼所损益可知也
aaxb 其或继周者虽百世可知也
mygb 见义不为无勇也
wdgw 人而不仁如乐何
pgaw 礼与其奢也宁俭
fgad 丧与其易也宁戚
tqym 季氏旅于泰山
uydt 曾谓泰山不如林放乎
rydq 揖让而升下而饮
aqbb 其争也君子
rpgb 殷礼吾能言之宋不足征也
yfgc 文献不足故也足则吾能征之矣
aupy 或问禘之说
tayt 知其说者之于天下也其如示诸斯乎
wvdd 祭如在祭神如神在
btdu 子入太庙每事问
tdyu 入太庙每事问
qeap 尔爱其羊我爱其礼
dvyf 邦君为两君之好有反坫
tqyp 管氏亦有反坫管氏而知礼孰不知礼
vwwb 始作翕如也
wpxd 从之纯如也皦如也绎如也以成
ggpq 天下之无道也久矣天将以夫子为木铎
rgtt 择不处仁焉得知
wfpw 仁者安仁知者利仁
gnab 不以其道得之不处也
wgmb 贫与贱是人之所恶也
vbfq 君子去仁恶乎成名
vbfj 君子无终食之间违仁造次必于是颠沛必于是
vwfp 好仁者无以尚之
ggwt 恶不仁者其为仁矣不使不仁者加乎其身
dcgt 有能一日用其力于仁矣乎
tfmf 我未见力不足者
udpb 盖有之矣我未见也
cfac 观过斯知仁矣
vbng 君子怀刑小人怀惠
gcnw 不能以礼让为国如礼何
gkab 不患莫己知求为可知也
gugp 吾道一以贯之
edoc 朋友数斯疏矣
dfun 邦无道免于刑戮
qfva 鲁无君子者斯焉取斯
twnw 御人以口给屡憎于人
gtaw 不知其仁焉用佞
lbuf 回也闻一以知十赐也闻一以知二
wggt 今吾于人也听其言而观其行
gcgj 于予与改是
fbpb 夫子之言性与天道不可得而闻也
bkdu 子路有闻未之能行唯恐有闻
atsb 其知可及也其愚不可及也
gipp 吾党之小子狂简斐然成章不知所以裁之
atsp 或乞醯焉乞诸其邻而与之
aqdp 匿怨而友其人左丘明耻之丘亦耻之
gfmb 吾未见能见其过而内自讼者也
ntdt 居简而行简无乃大简乎
gupp 吾闻之也君子周急不继富
dlyt 原思为之宰与之粟九百辞
vdtc 如有复我者则吾必在汶上矣
awbb 斯人也而有斯疾也
gtwq 一箪食一瓢饮在陋巷人不堪其忧回也不改其乐
jflb 贤哉回也
wamb 何莫由斯道也
yrsb 文质彬彬然后君子
vpff 好之者不如乐之者
kwnb 中人以下不可以语上也
tffg 知者动仁者静
tfqd 知者乐仁者寿
vbsb 君子可逝也不可陷也
sabb 可欺也不可罔也
nqqc 民鲜久矣
sywt 可谓仁乎
aeay 尧舜其犹病诸
fwfw 夫仁者己欲立而立人己欲达而达人
crbn 能近取譬可谓仁之方也已
bpab 子之燕居申申如也夭夭如也
qcgw 久矣吾不复梦见周公
bwgb 子食于有丧者之侧未尝饱也
bgjs 子于是日哭则不歌
nbjb 必也临事而惧好谋而成者也
vgsv 如不可求从吾所好
bpru 子之所慎齐战疾
gydf 不义而富且贵于我如浮云
kwuc 叶公问孔子于子路子路不对
bgyp 子不语怪力乱神
raup 择其善者而从之其不善者而改之
gfbq 吾无隐乎尔
gftb 吾无行而不与二三子者是丘也
bnlw 子以四教文行忠信
tmvc 得见君子者斯可矣
ydyt 亡而为有虚而为盈约而为泰难乎有恒乎
bqdp 子钓而不纲弋不射宿
qurp 多闻择其善者而从之
qmdb 多见而识之知之次也
gxca 互乡难与言童子见门人惑
winb 人洁己以进与其洁也不保其往也
twwc 我欲仁斯仁至矣
vbgb 君取于吴为同姓谓之吴孟子
vdtp 君而知礼孰不知礼
bgwp 子与人歌而善必使反之而后和之
ttvt 躬行君子则吾未之有得
rypc 抑为之不厌诲人不倦则可谓云尔已矣
buup 子疾病子路请祷
gagl 与其不孙也宁固
bidp 子温而厉威而不猛恭而安
dngg 三以天下让民无得而称焉
ndfa 慎而无礼则葸
cdft 勇而无礼则乱
fdfx 直而无礼则绞
vbtw 君子笃于亲则民兴于仁
dhgw 故旧不遗则民不偷
ubdp 曾子有疾孟敬子问之
wpuu 人之将死其言也善
vbrc 君子所贵乎道者三动容貌斯远暴慢矣
guqc 正颜色斯近信矣
btrc 出辞气斯远鄙倍矣
tgpd 笾豆之事则有司存
nqup 以多问于寡
dafs 有若无实若虚犯而不校
afgc 昔者吾友尝从事于斯矣
vbwg 君子人与
vbwb 君子人也
wnyt 仁以为己任不亦重乎
gdrt 死而后已不亦远乎
wdgb 人而不仁疾之已甚乱也
qdgn 危邦不入乱邦不居
ggdb 天下有道则见无道则隐
ddub 邦有道贫且贱焉耻也
dfub 邦无道富且贵焉耻也
etpg 舜禹之有天下也而不与焉
mmtp 巍巍乎唯天为大唯尧则之
aatg 荡荡乎民无能名焉
mmtu 巍巍乎其有成功也焕乎其有文章
edai 舜有臣五人而天下治
yhpd 唐虞之际于斯为盛
dvwn 有妇人焉九人而已
dwgr 三分天下有其二以服事殷
mptc 周之德其可谓至德也已矣
tgfc 禹吾无间然矣
bpyw 子罕言利与命与仁
fidq 博学而无所成名
rttt 执御乎执射乎
grtc 吾执御矣
wbxw 今也纯俭吾从众
rgpb 拜下礼也
wrtb 今拜乎上泰也
kfwg 虽违众吾从下
bxlt 子绝四毋意毋必毋固毋我
gpub 天之将丧斯文也后死者不得与于斯文也
gpfw 天之未丧斯文也匡人其如予何
gibg 吾少也贱故多能鄙事
vbqf 君子多乎哉
dkfb 有鄙夫问于我空空如也
tkag 我叩其两端而竭焉
bmyf 子见齐衰者冕衣裳者与瞽者见之虽少必作过之必趋
hpdr 瞻之在前忽焉在后
fbtc 夫子循循然善诱人博我以文约我以礼欲罢不能
vugn 既竭吾才如有所立卓尔虽欲从之末由也已
buua 子疾病子路使门人为臣
fada 无臣而为有臣吾谁欺
ecgt 且予与其死于臣之手也无宁死于二三子之手乎
ecxt 且予纵不得大葬予死于道路乎
fusy 求善贾而沽诸
ttsb 我待贾者也
bwng 子欲居九夷
gwny 不舍昼夜
nvgb 譬如平地虽覆一篑进吾往也
gmab 吾见其进也未见其止也
npyk 改之为贵
ngpt 巽与之言能无说乎
xpyk 绎之为贵
ydgc 说而不绎从而不改吾末如之何也已矣
xdgn 毋友不如己者过则勿惮改
sgtu 可与适道未可与立
sgus 可与立未可与权
mgql 岂不尔思
pjfq 室是远尔
bbgf 孔子于乡党恂恂如也似不能言者
adpq 其在宗庙朝庭便便言唯谨尔
fggb 朝与下大夫言侃侃如也
ghdb 与上大夫言訚訚如也
vdkb 君在踧踖如也与与如也
vvwb 君召使摈色勃如也足躩如也
rrgb 揖所与立左右手衣前后襜如也
ffnb 趋进翼如也
twup 入公门鞠躬如也如不容
ugku 立不中门行不履阈
fwqf 过位色勃如也足躩如也其言似不足者
rytf 摄齐升堂鞠躬如也屏气似不息者
bbgb 出降一等逞颜色怡怡如也
ibfb 没阶趋进翼如也
tawb 复其位踧踖如也
rfae 执圭鞠躬如也如不胜
hvrr 上如揖下如授
fvht 勃如战色足蹜蹜如有循
ypdq 享礼有容色
tfnb 私觌愉愉如也
vbge 君子不以绀緅饰红紫不以为亵服
ijpp 当暑袗絺绤必表而出之
xyuf 缁衣羔裘素衣麑裘黄衣狐裘
yftp 亵裘长短右袂
ndpu 必有寝衣长一身有半
qepn 狐貉之厚以居
fffw 去丧无所不佩
dmip 非帷裳必杀之
ufyk 羔裘玄冠不以吊
fenf 吉月必朝服而朝
yndd 齐必有明衣布
ynyw 齐必变食居必迁坐
wgdx 食不厌精脍不厌细
wwdw 食饐而餲鱼馁而肉败不食
qggw 色恶不食
tggw 臭恶不食
rqgw 失饪不食
gjgw 不时不食
pggw 割不正不食
mkqr 肉虽多不使胜食气
kift 唯酒无量不及乱
iiyw 沽酒市脯不食
gruw 不撤姜食不多食
wgwm 祭于公不宿肉
wmgc 祭肉不出三日出三日不食之矣
